NO.	compound_name	IUPAC_name	SMILES	CID	logBB	BBB+/BBB-	Inchi	threshold	reference	group	comments
391	ticalopride	4-amino-5-chloro-2-methoxy-n-[(3s,4r)-3-methoxypiperidin-4-yl]benzamide	COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC	216236	-0.22	BBB+	InChI=1S/C14H20ClN3O3/c1-20-12-6-10(16)9(15)5-8(12)14(19)18-11-3-4-17-7-13(11)21-2/h5-6,11,13,17H,3-4,7,16H2,1-2H3,(H,18,19)/t11-,13+/m1/s1		R47|	A	
392	pfizer compound 16	1-[4-methoxy-3-[[(2-phenylpiperidin-3-yl)amino]methyl]phenyl]pyrrolidin-2-one	COc1ccc(N2CCCC2=O)cc1CNC1CCCNC1c1ccccc1	22620062	-0.22	BBB+	InChI=1S/C23H29N3O2/c1-28-21-12-11-19(26-14-6-10-22(26)27)15-18(21)16-25-20-9-5-13-24-23(20)17-7-3-2-4-8-17/h2-4,7-8,11-12,15,20,23-25H,5-6,9-10,13-14,16H2,1H3		R2|R2|R8|R25|R27|R46|R4|R40|	A	
393	cortisol	(8s,9s,10r,11s,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthren-3-one	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	5754	-0.22	BBB+	InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1		R20|	A	
394	cortisol	(8r,9s,10r,11s,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthren-3-one	C[C@]12C[C@H](O)[C@H]3[C@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	12304010	-0.22	BBB+	InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15+,16+,18-,19+,20+,21+/m1/s1		R2|R2|R25|R27|R46|	A	
395	schembl4036207	n-(2-chloro-6-methylphenyl)-12-(3-methylpiperazin-1-yl)-2,4,8,13-tetrazatricyclo[7.4.0.02,6]trideca-1(9),3,5,7,10,12-hexaen-7-amine	Cc1cccc(Cl)c1Nc1nc2ccc(N3CCNC(C)C3)nc2n2cncc12	19605717	-0.22	BBB+	InChI=1S/C21H22ClN7/c1-13-4-3-5-15(22)19(13)27-20-17-10-23-12-29(17)21-16(25-20)6-7-18(26-21)28-9-8-24-14(2)11-28/h3-7,10,12,14,24H,8-9,11H2,1-2H3,(H,25,27)		R18|R26|R27|	A	
396	abacavir	[(1s,4r)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1	441300	-0.22	BBB+	InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10+/m1/s1		R20|	A	
397	abacavir	[(1r,4r)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@H](CO)C3)c2n1	10660866	-0.22	BBB+	InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10-/m0/s1		R2|R2|R25|R27|R46|	A	
398	fluconazole	2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	3365	-0.22	BBB+	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2		R2|R2|R25|R27|R46|	A	
399	quinidine	(s)-[(2r,5r)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol	C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	5953	-0.21	BBB+	InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14?,19+,20-/m0/s1		R21|R8|	A	
400	glycerol	propane-1,2,3-triol	OCC(O)CO	753	-0.21	BBB+	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2		R47|	A	
401	valproate	2-propylpentanoic acid	CCCC(CCC)C(=O)O	3121	-0.2	BBB+	InChI=1S/C8H16O2/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)		R41|R3|R38|R47|R4|R8|R21|R27|R2|R2|R27|R11|R12|R17|R18|R25|R26|R27|R35|R36|R39|R43|R46|R48|R49|R49|R5|	A	
402	morphine	3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinoline-7,9-diol	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	4253	-0.2	BBB+	InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3		R3|R38|R25|R41|R2|R2|R27|R40|R27|R47|R12|R35|R36|R43|R4|	A	
403	quinidine (quinine)	(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol	C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	1065	-0.2	BBB+	InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3		R12|R36|R47|R27|R2|R2|R27|R40|R3|R4|	A	
404	5-methyl-5-ethyl barbituric acid (nsc 30403)	5-ethyl-5-methyl-1,3-diazinane-2,4,6-trione	CCC1(C)C(=O)NC(=O)NC1=O	95705	-0.2	BBB+	InChI=1S/C7H10N2O3/c1-3-7(2)4(10)8-6(12)9-5(7)11/h3H2,1-2H3,(H2,8,9,10,11,12)		R25|R41|R3|R38|R2|R2|R8|R21|R27|R27|R43|R46|R47|R40|	A	
405	l-838417	7-tert-butyl-3-(2,5-difluorophenyl)-6-[(2-methyl-1,2,4-triazol-3-yl)methoxy]-[1,2,4]triazolo[4,3-b]pyridazine	Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C	9908880	-0.2	BBB+	InChI=1S/C19H19F2N7O/c1-19(2,3)13-8-15-24-25-17(12-7-11(20)5-6-14(12)21)28(15)26-18(13)29-9-16-22-10-23-27(16)4/h5-8,10H,9H2,1-4H3		R18|R26|R27|R20|	A	
406	trazodone	2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one	O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12	5533	-0.2	BBB+	InChI=1S/C19H22ClN5O/c20-16-5-3-6-17(15-16)23-13-11-22(12-14-23)8-4-10-25-19(26)24-9-2-1-7-18(24)21-25/h1-3,5-7,9,15H,4,8,10-14H2		R18|R26|R27|R25|R42|	A	
407	ibuprofen 	2-[4-(2-methylpropyl)phenyl]propanoic acid	CC(C)Cc1ccc(C(C)C(=O)O)cc1	3672	-0.2	BBB+	InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)		R5|R2|R2|R8|R27|R40|R3|R11|R12|R17|R18|R21|R25|R26|R27|R27|R31|R35|R36|R38|R41|R43|R46|R47|R49|R49|R50|R4|R42|	A	
408	ethanol	ethanol	CCO	702	-0.2	BBB+	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3		R5|R2|R2|R8|R11|R12|R17|R18|R21|R22|R25|R26|R27|R27|R32|R33|R35|R36|R39|R43|R46|R48|R49|R40|R3|R38|R41|R47|R44|	A	
409	tz-3	1-[2-[(2-chlorothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole	Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1	5482	-0.2	BBB+	InChI=1S/C16H13Cl3N2OS/c17-12-1-2-13(14(18)7-12)15(8-21-5-4-20-10-21)22-9-11-3-6-23-16(11)19/h1-7,10,15H,8-9H2		R47|	A	
410	tz-3	n-(2,6-difluorophenyl)-4,5-dihydro-1h-imidazol-2-amine	Fc1cccc(F)c1N=C1NCCN1	12296941	-0.2	BBB+	InChI=1S/C9H9F2N3/c10-6-2-1-3-7(11)8(6)14-9-12-4-5-13-9/h1-3H,4-5H2,(H2,12,13,14)		R4|R2|R2|R2|R2|R8|R25|R27|R27|R46|R40|	A	
411	phenelzine	2-phenylethylhydrazine	NNCCc1ccccc1	3675	-0.2	BBB+	InChI=1S/C8H12N2/c9-10-7-6-8-4-2-1-3-5-8/h1-5,10H,6-7,9H2		R25|	A	
412	indole-based mchr1 antagonist(7a)	2-(4-phenylmethoxyphenyl)-n-[1-(2-pyrrolidin-1-ylethyl)indazol-6-yl]acetamide	O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1	11775399	-0.2	BBB+	InChI=1S/C28H30N4O2/c33-28(18-22-8-12-26(13-9-22)34-21-23-6-2-1-3-7-23)30-25-11-10-24-20-29-32(27(24)19-25)17-16-31-14-4-5-15-31/h1-3,6-13,19-20H,4-5,14-18,21H2,(H,30,33)		R2|R2|R20|R25|R27|R46|	A	
413	liv-21	benzyl 4-[(pyrimidin-4-ylamino)methyl]piperidine-1-carboxylate	O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1	10268255	-0.2	BBB+	InChI=1S/C18H22N4O2/c23-18(24-13-16-4-2-1-3-5-16)22-10-7-15(8-11-22)12-20-17-6-9-19-14-21-17/h1-6,9,14-15H,7-8,10-13H2,(H,19,20,21)		R18|R26|R27|	A	
414	thioperamide	n-cyclohexyl-4-(1h-imidazol-5-yl)piperidine-1-carbothioamide	S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1	3035905	-0.2	BBB+	InChI=1S/C15H24N4S/c20-15(18-13-4-2-1-3-5-13)19-8-6-12(7-9-19)14-10-16-11-17-14/h10-13H,1-9H2,(H,16,17)(H,18,20)		R5|R8|R21|R27|R2|R2|R27|R35|R36|R39|R49|R3|R11|R12|R18|R20|R25|R26|R27|R38|R40|R41|R43|R46|R47|R48|	A	
415	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	NCC1(CC(=O)O)CCCCC1	3446	-0.19	BBB+	InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)		R20|R2|R2|R25|R27|R46|	A	
416	chembl3527030	n'-ethyl-2-phenylpropanediamide	CCNC(=O)C(C(N)=O)c1ccccc1	118753220	-0.19	BBB+	InChI=1S/C11H14N2O2/c1-2-13-11(15)9(10(12)14)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3,(H2,12,14)(H,13,15)		R2|R2|R25|R27|R46|	A	
417	felbamate	(3-carbamoyloxy-2-phenylpropyl) carbamate	NC(=O)OCC(COC(N)=O)c1ccccc1	3331	-0.19	BBB+	InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)		R18|R26|R27|	A	
418	(r)-(-)-ibuprofen	(2r)-2-[4-(2-methylpropyl)phenyl]propanoic acid	CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1	114864	-0.18	BBB+	InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m1/s1		R48|	A	
419	y19	n-[(5s)-2,4-dioxo-6-[(2s,3s,4r)-2,3,4,5-tetrahydroxypentyl]imino-1,3-diazinan-5-yl]propanamide	CCC(=O)N[C@@H]1C(=O)NC(=O)NC1=NC[C@H](O)[C@H](O)[C@H](O)CO	135566348	-0.18	BBB+	InChI=1S/C12H20N4O7/c1-2-7(20)14-8-10(15-12(23)16-11(8)22)13-3-5(18)9(21)6(19)4-17/h5-6,8-9,17-19,21H,2-4H2,1H3,(H,14,20)(H2,13,15,16,22,23)/t5-,6+,8-,9-/m0/s1		R11|	A	
420	carisoprodol	[2-(carbamoyloxymethyl)-2-methylpentyl] n-methylcarbamate	CCCC(C)(COC(N)=O)COC(=O)NC	117196	-0.18	BBB+	InChI=1S/C10H20N2O4/c1-4-5-10(2,6-15-8(11)13)7-16-9(14)12-3/h4-7H2,1-3H3,(H2,11,13)(H,12,14)		R18|R26|R27|	A	
421	prednisolone	(8s,9s,10r,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-3-one	C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	11245343	-0.18	BBB+	InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16?,18+,19-,20-,21-/m0/s1		R2|R2|R25|R27|R46|	A	
422	prednisolone	(8s,9s,10r,11s,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-3-one	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	5755	-0.18	BBB+	InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1		R20|	A	
423	1,3-butadiene (divinyl)	buta-1,3-diene	C=CC=C	7845	-0.17	BBB+	InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2		R2|R2|R8|R21|R27|R27|R43|R46|R47|R40|R3|R38|R25|R41|	A	
424	pac-1	2-(4-benzylpiperazin-1-yl)-n-[(z)-(2-hydroxy-3-prop-2-enylphenyl)methylideneamino]acetamide	C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O	135421197	-0.17	BBB+	InChI=1S/C23H28N4O2/c1-2-7-20-10-6-11-21(23(20)29)16-24-25-22(28)18-27-14-12-26(13-15-27)17-19-8-4-3-5-9-19/h2-6,8-11,16,29H,1,7,12-15,17-18H2,(H,25,28)/b24-16-		R47|	A	
425	2-methylpropan-1-ol	2-methylpropan-1-ol	CC(C)CO	6560	-0.17	BBB+	InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3		R2|R2|R8|R11|R12|R17|R18|R21|R22|R25|R26|R27|R27|R32|R33|R36|R39|R43|R46|R48|R49|R40|R3|R38|R41|R47|R44|	A	
426	dl-alanine	2-aminopropanoic acid	CC(N)C(=O)O	602	-0.17	BBB+	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)		R47|	A	
427	201038-74-6	3-[(2r)-2-[2-(4-methylpiperidin-1-yl)ethyl]pyrrolidin-1-yl]sulfonylphenol	CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1	6604889	-0.17	BBB+	InChI=1S/C18H28N2O3S/c1-15-7-11-19(12-8-15)13-9-16-4-3-10-20(16)24(22,23)18-6-2-5-17(21)14-18/h2,5-6,14-16,21H,3-4,7-13H2,1H3/t16-/m1/s1		R18|R26|R27|	A	
428	2-oxo-4-[3-(trifluoromethoxy)anilino]-6-methyl-3-cyclohexene-1-carboxylic acid methyl ester	methyl 6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate	COC(=O)C1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)CC1C	15186911	-0.17	BBB+	InChI=1S/C16H16F3NO4/c1-9-6-11(8-13(21)14(9)15(22)23-2)20-10-4-3-5-12(7-10)24-16(17,18)19/h3-5,7-9,14,20H,6H2,1-2H3		R2|R2|R4|R25|R27|R40|R46|R47|	A	
429	methyl (1s,6r)-6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate	methyl (1s,6r)-6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate	COC(=O)[C@@H]1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)C[C@H]1C	10088796	-0.17	BBB+	InChI=1S/C16H16F3NO4/c1-9-6-11(8-13(21)14(9)15(22)23-2)20-10-4-3-5-12(7-10)24-16(17,18)19/h3-5,7-9,14,20H,6H2,1-2H3/t9-,14+/m1/s1		R8|	A	
430	pralidoxime	(ne)-n-[(1-methylpyridin-1-ium-2-yl)methylidene]hydroxylamine	C[n+]1ccccc1/C=N/O	135398747	-0.17	BBB+	InChI=1S/C7H8N2O/c1-9-5-3-2-4-7(9)6-8-10/h2-6H,1H3/p+1		R20|R2|R2|R25|R27|R46|	A	
431	1-(8-fluorooctyl)-2-nitroimidazole (fon)	1-(8-fluorooctyl)-2-nitroimidazole	O=[N+]([O-])c1nccn1CCCCCCCCF	10377120	-0.17	BBB+	InChI=1S/C11H18FN3O2/c12-7-5-3-1-2-4-6-9-14-10-8-13-11(14)15(16)17/h8,10H,1-7,9H2		R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	A	
432	propan-1-ol	propan-1-ol	CCCO	1031	-0.16	BBB+	InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3		R11|R12|R12|R17|R18|R22|R25|R26|R27|R32|R33|R36|R48|R49|R2|R2|R8|R27|R21|R27|R43|R40|R41|R3|R38|R47|R44|	A	
433	pefloxacin	1-ethyl-6-fluoro-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	51081	-0.16	BBB+	InChI=1S/C17H20FN3O3/c1-3-20-10-12(17(23)24)16(22)11-8-13(18)15(9-14(11)20)21-6-4-19(2)5-7-21/h8-10H,3-7H2,1-2H3,(H,23,24)		R2|R2|R20|R25|R46|	A	
434	vorozole	6-[(4-chlorophenyl)-(1,2,4-triazol-1-yl)methyl]-1-methylbenzotriazole	Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21	60796	-0.16	BBB+	InChI=1S/C16H13ClN6/c1-22-15-8-12(4-7-14(15)20-21-22)16(23-10-18-9-19-23)11-2-5-13(17)6-3-11/h2-10,16H,1H3		R2|R2|R25|R27|R46|	A	
435	vorozole	6-[(s)-(4-chlorophenyl)-(1,2,4-triazol-1-yl)methyl]-1-methylbenzotriazole	Cn1nnc2ccc([C@H](c3ccc(Cl)cc3)n3cncn3)cc21	6918191	-0.16	BBB+	InChI=1S/C16H13ClN6/c1-22-15-8-12(4-7-14(15)20-21-22)16(23-10-18-9-19-23)11-2-5-13(17)6-3-11/h2-10,16H,1H3/t16-/m0/s1		R47|	A	
436	epinastine	2,4-diazatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),3,7,9,11,14,16-heptaen-3-amine	NC1=NCC2c3ccccc3Cc3ccccc3N12	3241	-0.16	BBB+	InChI=1S/C16H15N3/c17-16-18-10-15-13-7-3-1-5-11(13)9-12-6-2-4-8-14(12)19(15)16/h1-8,15H,9-10H2,(H2,17,18)		R2|R2|R20|R25|R27|R46|	A	
437	7439-90-9	krypton	[Kr]	5416	-0.16	BBB+	InChI=1S/Kr		R3|R12|R21|R27|R40|	A	
438	dexamethasone	(8s,9r,10s,11s,13s,14s,16r,17r)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	5743	-0.15	BBB+	InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1		R47|R20|R25|	A	
439	meprobamate	[2-(carbamoyloxymethyl)-2-methylpentyl] carbamate	CCCC(C)(COC(N)=O)COC(N)=O	4064	-0.15	BBB+	InChI=1S/C9H18N2O4/c1-3-4-9(2,5-14-7(10)12)6-15-8(11)13/h3-6H2,1-2H3,(H2,10,12)(H2,11,13)		R18|R26|R27|R2|R2|R20|R25|R27|R46|	A	
440	propan-2-one (acetone)	propan-2-one	CC(C)=O	180	-0.15	BBB+	InChI=1S/C3H6O/c1-3(2)4/h1-2H3		R3|R38|R41|R47|R40|R2|R2|R8|R27|R11|R12|R17|R21|R22|R25|R27|R32|R33|R35|R36|R39|R43|R46|R48|R49|R44|	A	
441	minokine, mw01-2-069srm	3-phenyl-4-pyridin-4-yl-6-(4-pyrimidin-2-ylpiperazin-1-yl)pyridazine	c1ccc(-c2nnc(N3CCN(c4ncccn4)CC3)cc2-c2ccncc2)cc1	24743826	-0.15	BBB+	InChI=1S/C23H21N7/c1-2-5-19(6-3-1)22-20(18-7-11-24-12-8-18)17-21(27-28-22)29-13-15-30(16-14-29)23-25-9-4-10-26-23/h1-12,17H,13-16H2		R27|R18|R26|	A	
442	acebutolol	n-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	1978	-0.15	BBB+	InChI=1S/C18H28N2O4/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23)		R2|R2|R8|R27|R40|R21|R25|R27|R43|R46|R47|R4|R42|	A	
443	145741-95-3	n-[(2-methoxy-5-methylsulfonylphenyl)methyl]-2-phenylpiperidin-3-amine	COc1ccc(S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1	19696721	-0.15	BBB+	InChI=1S/C20H26N2O3S/c1-25-19-11-10-17(26(2,23)24)13-16(19)14-22-18-9-6-12-21-20(18)15-7-4-3-5-8-15/h3-5,7-8,10-11,13,18,20-22H,6,9,12,14H2,1-2H3		R2|R2|R8|R27|R40|R25|R46|R47|R4|	A	
444	daidzein ok	7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	5281708	-0.15	BBB+	InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H		R2|R2|R8|R27|R40|R3|R18|R21|R25|R26|R27|R27|R38|R41|R43|R46|R47|	A	
445	urea	urea	NC(N)=O	1176	-0.14	BBB+	InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)		R47|R40|R2|R2|R8|R21|R25|R27|R27|R43|R46|	A	
446	sr-4688	(e)-4-thiophen-2-ylbut-3-en-2-one	CC(=O)/C=C/c1cccs1	735949	-0.14	BBB+	InChI=1S/C8H8OS/c1-7(9)4-5-8-3-2-6-10-8/h2-6H,1H3/b5-4+		R18|R26|R27|	A	
447	u 88703	2-piperazin-1-yl-n-propan-2-ylpyridin-3-amine	CC(C)Nc1cccnc1N1CCNCC1	10013750	-0.14	BBB+	InChI=1S/C12H20N4/c1-10(2)15-11-4-3-5-14-12(11)16-8-6-13-7-9-16/h3-5,10,13,15H,6-9H2,1-2H3		R18|R26|R27|	A	
448	barbital	5,5-diethyl-1,3-diazinane-2,4,6-trione	CCC1(CC)C(=O)NC(=O)NC1=O	2294	-0.14	BBB+	InChI=1S/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)		R2|R2|R8|R21|R27|R27|R27|R43|R46|R47|R40|R18|R25|R26|R41|R3|R38|R42|	A	
449	fluoroethylflumazenil f-18	ethyl 5-(2-(18f)fluoranylethyl)-8-fluoro-6-oxo-4h-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate	CCOC(=O)c1ncn2c1CN(CCF)C(=O)c1cc(F)ccc1-2	6426759	-0.14	BBB+	InChI=1S/C16H15F2N3O3/c1-2-24-16(23)14-13-8-20(6-5-17)15(22)11-7-10(18)3-4-12(11)21(13)9-19-14/h3-4,7,9H,2,5-6,8H2,1H3		R8|R21|R2|R2|R3|R25|R27|R27|R38|R40|R41|R43|R46|R47|	A	
450	1,2-dichloroethane	1,2-dichloroethane	ClCCCl	11	-0.14	BBB+	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2		R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	A	
451			N#Cc1ccsc1C1=Nc2ccc(Cl)cc2NC(=O)C1		-0.14	BBB+	InChI=1S/C14H8ClN3OS/c15-9-1-2-10-11(5-9)18-13(19)6-12(17-10)14-8(7-16)3-4-20-14/h1-5H,6H2,(H,18,19)		R47|	A	
452	mchr antagonist 8	6-chloro-4-[[1-(2,3-dihydro-1-benzofuran-5-ylmethyl)piperidin-4-yl]amino]chromen-2-one	O=c1cc(NC2CCN(Cc3ccc4c(c3)CCO4)CC2)c2cc(Cl)ccc2o1	11531660	-0.14	BBB+	InChI=1S/C23H23ClN2O3/c24-17-2-4-22-19(12-17)20(13-23(27)29-22)25-18-5-8-26(9-6-18)14-15-1-3-21-16(11-15)7-10-28-21/h1-4,11-13,18,25H,5-10,14H2		R2|R2|R25|R27|R46|	A	
453	methyl acetate	methyl acetate	COC(C)=O	6584	-0.13	BBB+	InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3		R3|R38|R25|R41|R40|R2|R2|R8|R21|R27|R27|R43|R46|R47|	A	
